name,availabilityVendorId,ordersVendorId
"PEIAT FERATSHI, 6th of October - Palm Hills",766802,61191
"Panda, nasr city - makram ebeid 2",709161,23466
"Panda, El Rehab City 1",709017,23346
"Panda, El oubour city",709159,23498
"Panda, 6th of October - 10th District",709160,23339
"Ozone Pharmacy, Tagammoa 5 - Hay 1",717462,31979
"Ozone Misr Pharmacies, Tagammoa 5 - Al Diyar Compound",755740,59182
"Oxygen Pharmacy, Tagammoa 5 - Banafseg 5,6,7,8",758199,59907
"Oxygen Pharmacy, Tagammo 5 - Banafseg 5,6,7",717361,31954
"Othaim, Tagammoa 5 - South Investors",774569,63004
"Othaim, Helwan",718703,34765
"Othaim, Heliopolis - Hegaz Square",774386,62015
"Othaim, Dokki - Mosaddak",774574,62770
"Othaim, 6th of October - Mountain View-1",774566,62864
"Othaim, 6th of October - Eskan El Shabab 2",774567,62926
"Othaim, 6th of October - Beta Gardens",774556,62857
"Osman Market, El Seyof Qebly",690943,18754
"Osman Market, Al Dawahy District",749320,55112
"Oscar Grand Stores, Madinaty C007",732586,43631
"Oscar Grand Stores, Heliopolis - El Horreya",695378,19225
"Osama Pharmacy, Hadayek El Ahram - Area L",777428,63224
"OSAMA OSMAN PHARMACY, Zagazig University",775428,62292
"Origin Pharmacy, Madinaty - Work Shops",739986,48182
